epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,15510.6,0.99292,0.79859,0.9868,0.6713,0.54545,0.54585,0.30386,1.69662,1.10497,1.09018,0.00055188,0.00055188,0.00055188
64,15751,0.99903,0.7789,0.99347,0.72429,0.54545,0.53948,0.30852,1.7283,1.01092,1.08923,0.000537733,0.000537733,0.000537733
65,15990.8,0.98125,0.75373,0.97837,0.54542,0.53409,0.51388,0.30138,1.63548,1.03817,1.04186,0.000523586,0.000523586,0.000523586
66,16230.2,0.99077,0.76399,0.99842,0.57964,0.59091,0.53644,0.31612,1.61146,1.07507,1.0462,0.000509438,0.000509438,0.000509438
67,16469.6,0.96141,0.77262,0.9851,0.6311,0.54545,0.54222,0.31238,1.62786,1.12492,1.04846,0.000495291,0.000495291,0.000495291
68,16709.4,0.96262,0.75725,0.98193,0.60179,0.61364,0.54776,0.32111,1.6264,0.98461,1.04087,0.000481144,0.000481144,0.000481144
69,16948.3,0.96712,0.77807,0.98326,0.5845,0.58466,0.55076,0.31188,1.67249,1.14054,1.05502,0.000466997,0.000466997,0.000466997
70,17187.4,0.9641,0.76191,0.98715,0.54549,0.57955,0.54212,0.30565,1.73747,1.07528,1.09054,0.00045285,0.00045285,0.00045285
71,17425.6,0.97057,0.76704,0.98099,0.56502,0.54545,0.52388,0.29299,1.69711,1.10371,1.08088,0.000438703,0.000438703,0.000438703
72,17664.5,0.95613,0.73301,0.98296,0.543,0.56818,0.5243,0.30608,1.74492,1.05079,1.08868,0.000424556,0.000424556,0.000424556
73,17903.5,0.94212,0.69005,0.97487,0.57935,0.53409,0.53179,0.2858,1.78008,1.12339,1.11267,0.000410409,0.000410409,0.000410409
74,18143.3,0.96518,0.73731,0.99064,0.59603,0.53409,0.53071,0.30394,1.72727,1.08217,1.09588,0.000396262,0.000396262,0.000396262
75,18382.4,0.94031,0.70322,0.98042,0.54032,0.53409,0.51556,0.27483,1.81265,1.15178,1.13455,0.000382115,0.000382115,0.000382115
76,18621.2,0.94159,0.7016,0.97909,0.55693,0.59091,0.51953,0.29169,1.7032,1.12611,1.08322,0.000367967,0.000367967,0.000367967
77,18859.6,0.93242,0.69969,0.97757,0.56635,0.56818,0.54825,0.31123,1.66836,1.0341,1.0655,0.00035382,0.00035382,0.00035382
78,19100,0.90681,0.70061,0.96123,0.57595,0.56818,0.53448,0.2988,1.74776,1.22786,1.08715,0.000339673,0.000339673,0.000339673
79,19340.3,0.95325,0.69501,0.97734,0.60678,0.55665,0.5344,0.27843,1.80584,1.13052,1.12448,0.000325526,0.000325526,0.000325526
80,19580.8,0.92546,0.69012,0.97111,0.6509,0.52554,0.5527,0.31133,1.70162,1.07596,1.07239,0.000311379,0.000311379,0.000311379
81,19820.4,0.90533,0.67916,0.96942,0.56567,0.54545,0.53446,0.29839,1.71255,1.1122,1.08529,0.000297232,0.000297232,0.000297232
82,20066.6,0.9355,0.68046,0.97338,0.62784,0.59091,0.56534,0.30352,1.75734,1.16546,1.10487,0.000283085,0.000283085,0.000283085
83,20310.8,0.89985,0.67761,0.95964,0.57931,0.59091,0.54066,0.3124,1.73843,1.12899,1.08383,0.000268938,0.000268938,0.000268938
84,20551.7,0.90334,0.65905,0.95835,0.58162,0.56818,0.55554,0.31592,1.68922,1.05857,1.06784,0.000254791,0.000254791,0.000254791
85,20805.2,0.92545,0.66469,0.97288,0.65817,0.54545,0.55604,0.28559,1.79732,1.13179,1.13645,0.000240644,0.000240644,0.000240644
86,21047,0.90007,0.65438,0.95551,0.55343,0.63627,0.56779,0.31001,1.74079,1.07428,1.08665,0.000226497,0.000226497,0.000226497
87,21288.6,0.90259,0.64735,0.96631,0.72942,0.54545,0.54071,0.29166,1.80437,1.13462,1.11026,0.000212349,0.000212349,0.000212349
88,21527.7,0.89008,0.63679,0.95138,0.60177,0.56818,0.56848,0.29864,1.71731,1.0883,1.08641,0.000198202,0.000198202,0.000198202
89,21767.4,0.90463,0.65522,0.95922,0.65211,0.56818,0.5686,0.28048,1.78894,1.09386,1.12808,0.000184055,0.000184055,0.000184055
